[WARN  2023-09-22T21:15:21,527 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:21,528 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:21,815 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) No content type specified in response from /p?key=fwgp8ygfyzxtorfu3r233&cuid=09821303-f51d-4432-8aa3-8cd1d42a2b99&ma_url=https%3A%2F%2Fauth.global-exam.com%2Flogin&email_id=%5Bobject%20HTMLInputElement%5D&sib_type=page&ma_title=GlobalExam&sib_name=GlobalExam&ma_referrer=&ma_path=%2Flogin. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:22,070 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:22,071 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:22,135 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:22,135 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:22,240 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) No content type specified in response from /matomo.php?action_name=auth.global-exam.com%2FGlobalExam&idsite=2&rec=1&r=858232&h=21&m=15&s=19&url=https%3A%2F%2Fauth.global-exam.com%2Flogin&_id=723e40c69d8a1fb4&_idn=1&send_image=0&_refts=0&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1712x884&pv_id=GLlpYu&pf_net=1273&pf_srv=118&pf_tfr=22&pf_dm1=1331&uadata=%7B%22brands%22%3A%5B%7B%22brand%22%3A%22Chromium%22%2C%22version%22%3A%22117%22%7D%2C%7B%22brand%22%3A%22Not%3BA%3DBrand%22%2C%22version%22%3A%228%22%7D%5D%2C%22platform%22%3A%22Linux%22%7D. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:22,354 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:22,360 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
